year	title	author	director	theatre	ratings	comments
2	Restoration	Edward Bond	Penny Metropulos	Swan	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)
2	The Conclusion of Henry VI	William Shakespeare	Pat Patton	Elizabethan	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)
2	The Firebugs	Max Frisch	Barbara Damashek	Swan	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)
2	The Playboy of the Western World	J. M. Synge	Fontaine Syer	Bowmer	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)
2	Toys in the Attic	Lillian Hellman	Cynthia White	Bowmer	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)
2	The Ladies of the Camellias	Lillian Garrett-Groag	Kenneth Albers	Bowmer	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)
3	A Flea in Her Ear	Georges Feydeau	Kenneth Albers	Bowmer	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)
3	A Midsummer Night's Dream	William Shakespeare	Cynthia White	Elizabethan	-1(-)-1(-)-1(-)-1(-)-1(-)-1(-)-1(-)8(-)-1(-)-1(-)-1(-)-1(-)-1	(-)(-)(-)(-)(-)(-)(-)Delightful comic fare in a wonderful summer outdoor setting, done by OSF's Artistic Director (pre-Libby).  The scaffolding bit was particularly inventive.(-)(-)(-)(-)(-)
3	Antony and Cleopatra	William Shakespeare	Charles Towers	Elizabethan	-1(-)-1(-)-1(-)-1(-)-1(-)-1(-)-1(-)-1(-)6(-)-1(-)6(-)-1(-)-1	(-)(-)(-)(-)(-)(-)(-)(-)Rubber snakes on huge boobs! What could be better?(-)(-)Boy were they butch. Her more than him.(-)(-)
3	Cymbeline	William Shakespeare	Henry Woronicz	Swan	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)
3	Joe Turner's Come and Gone	August Wilson	Clinton Turner Davis	Bowmer	-1(-)-1(-)-1(-)-1(-)-1(-)-1(-)-1(-)-1(-)7(-)-1(-)8(-)-1(-)-1	(-)(-)(-)(-)(-)(-)(-)(-)I still have that tune going through my head sometimes.(-)(-)Me too, Micah.   (-)(-)
3	Light in the Village	John Clifford	Kirk Boyd	Swan	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)
3	Mad Forest	Caryl Churchill	Fontaine Syer	Swan	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)
3	Richard III	William Shakespeare	James Edmondson	Bowmer	-1(-)-1(-)-1(-)-1(-)-1(-)-1(-)-1(-)-1(-)2(-)-1(-)3(-)-1(-)-1	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)The first "bad" Ashland show. "Everything Black"(-)(-)
3	The Baltimore Waltz	Paula Vogel	Barbara Damashek	Swan	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)
3	The White Devil	John Webster	Jerry Turner	Elizabethan	-1(-)-1(-)-1(-)-1(-)-1(-)-1(-)-1(-)-1(-)2(-)-1(-)2(-)-1(-)-1	(-)(-)(-)(-)(-)(-)(-)(-)My first Ashland show. Not an auspicious start.(-)(-)It amused me that the actors clearly disliked the show, too.(-)(-)
3	Lips Together, Teeth Apart	Terrence McNally	Penny Metropulos	Bowmer	-1(-)-1(-)-1(-)-1(-)-1(-)-1(-)-1(-)8(-)9(-)-1(-)9(-)-1(-)-1	(-)(-)(-)(-)(-)(-)(-)Wow!  Somehow, not as good as Midsummer tho.(-)(-)(-)&quot;fuck fuck fuck fuck fuck fuck fuck&quot;(-)(-)
3	The Illusion	Pierre Corneille	Pat Patton	Bowmer	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)
4	Hamlet	William Shakespeare	Henry Woronicz	Bowmer	-1(-)3(-)-1(-)-1(-)-1(-)-1(-)-1(-)-1(-)4(-)-1(-)4(-)-1(-)-1	(-)I fell asleep. I don't remember exactly why I didn't like it, but I didn't. I think it was just plain dull.(-)(-)(-)(-)(-)(-)(-)(-)(-)Lukewarm, though I liked the male/female Ros and Guil.  (-)(-)
4	Much Ado About Nothing	William Shakespeare	Kirk Boyd	Elizabethan	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)
4	Oleanna	David Mamet	Charles Towers	Swan	-1(-)10(-)-1(-)-1(-)-1(-)-1(-)-1(-)9(-)9(-)-1(-)9(-)-1(-)-1	(-)Totally intense.  This is what theater in the Swan should be. The climactic moment with the chair over his head is one of the top two or three (maybe the top) most memorable Ashland theater moments for me.(-)(-)(-)(-)(-)(-)Spooky show, my first ever in the Swan.  Holy shit!(-)(-)(-)What a perfect show for the Swan.(-)(-)
4	Tales of the Lost Formicans	Constance Congdon	Susan Fenichell	Swan	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)
4	The Colored Museum	George C. Wolfe	Kenny Leon	Swan	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)
4	The Pool of Bethesda	Allan Cubitt	Fontaine Syer	Bowmer	-1(-)-1(-)-1(-)-1(-)-1(-)-1(-)-1(-)7(-)-1(-)-1(-)5(-)-1(-)-1	(-)(-)(-)(-)(-)(-)(-)Weird, and many didn't like it.  It affected me hugely -- perhaps because of a recent death in my family(-)(-)(-)I liked it better when it was called &quot;Wit&quot;.  (-)(-)
4	The Rehearsal	Jean Anouilh	Henry Woronicz	Bowmer	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)
4	The Tempest	William Shakespeare	Jerry Turner	Elizabethan	-1(-)-1(-)-1(-)-1(-)-1(-)-1(-)-1(-)-1(-)5(-)-1(-)6(-)-1(-)-1	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)
4	The Two Noble Kinsmen	John Fletcher and William Shakespeare	Nagle Jackson	Elizabethan	-1(-)-1(-)-1(-)-1(-)-1(-)-1(-)-1(-)-1(-)-1(-)-1(-)7(-)-1(-)-1	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)
4	You Can't Take It with You	Moss Hart and George S. Kaufman	Peggy Shannon	Bowmer	-1(-)-1(-)-1(-)-1(-)-1(-)-1(-)-1(-)-1(-)8(-)-1(-)8(-)-1(-)-1	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)Hard to beat a nice rendition of Kaufmann and Hart.  (-)(-)
4	Fifth of July	Lanford Wilson	Clinton Turner Davis	Bowmer	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)
5	Blood Wedding	Federico García Lorca	James Edmondson	Bowmer	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)
5	Emma's Child	Kristine Thatcher	Cynthia White	Swan	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)
5	From the Mississippi Delta	Endesha Ida Mae Holland	Debra Wicks	Swan	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)
5	Macbeth	William Shakespeare	Jerry Turner	Elizabethan	-1(-)-1(-)-1(-)-1(-)-1(-)-1(-)-1(-)-1(-)5(-)-1(-)4(-)-1(-)-1	(-)(-)(-)(-)(-)(-)(-)(-)Not so scary(-)(-)underwhelming(-)(-)
5	Pravda	David Hare and Howard Brenton	Henry Woronicz	Bowmer	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)
5	Richard II	William Shakespeare	Howard Jensen	Elizabethan	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)
5	The Cure at Troy	Seamus Heaney	Tony Taccone	Swan	-1(-)-1(-)-1(-)-1(-)-1(-)-1(-)-1(-)-1(-)2(-)-1(-)3(-)-1(-)-1	(-)(-)(-)(-)(-)(-)(-)(-)Something about the young male lead (who also played Romeo in '96 I think) reminds me of John Livingston of the Mendicants and Mr. Wrong. That's about all I remember of this.(-)(-)Seamus Heaney trans. of Sophocles' Philoctetes. Bleh.(-)(-)
5	The Merry Wives of Windsor	William Shakespeare	Penny Metropulos	Elizabethan	-1(-)-1(-)-1(-)-1(-)-1(-)-1(-)-1(-)-1(-)7(-)-1(-)7(-)-1(-)-1	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)nice 'n' fluffy(-)(-)
5	The Skin of Our Teeth	Thornton Wilder	Fontaine Syer	Bowmer	-1(-)9(-)-1(-)-1(-)-1(-)-1(-)-1(-)-1(-)4(-)-1(-)8(-)-1(-)-1	(-)Awesome.(-)(-)(-)(-)(-)(-)(-)(-)(-)Ditto Bill.  It's 2003 as I write this, and I still think of this production occasionally.  (-)(-)
5	This Day and Age	Nagle Jackson	Pat Patton	Bowmer	-1(-)-1(-)-1(-)-1(-)-1(-)-1(-)-1(-)-1(-)-1(-)-1(-)5(-)-1(-)-1	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)Wasn't this the one with the dead father who wrote the famous song, and the stilted mother?  I don't think I liked it very much.  (-)(-)
5	Twelfth Night	William Shakespeare	Melia Bensussen	Bowmer	-1(-)-1(-)-1(-)-1(-)-1(-)-1(-)-1(-)-1(-)6(-)-1(-)7(-)-1(-)-1	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)I seem to remember liking this pretty well.  The little old white haired guy who played the Fool was really good.  Malvolio was really good, too.  (-)(-)
6	Arcadia	Tom Stoppard	Stephen Hollis	Bowmer	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)
6	Awake and Sing!	Clifford Odets	Debra Wicks	Bowmer	-1(-)-1(-)-1(-)-1(-)-1(-)-1(-)-1(-)-1(-)8(-)-1(-)-1(-)-1(-)-1	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)
6	Cabaret Verboten	Jeremy Lawrence	Penny Metropulos	Swan	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)
6	Coriolanus	William Shakespeare	Tony Taccone	Elizabethan	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)
6	Love's Labor's Lost	William Shakespeare	Pat Patton	Elizabethan	-1(-)-1(-)-1(-)-1(-)-1(-)-1(-)-1(-)-1(-)9(-)-1(-)-1(-)-1(-)-1	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)
6	Moliére Plays Paris	Nagle Jackson	James Edmondson	Bowmer	-1(-)-1(-)-1(-)-1(-)-1(-)-1(-)-1(-)8(-)7(-)-1(-)-1(-)-1(-)-1	(-)(-)(-)(-)(-)(-)(-)Very funny -- I recall laughing a LOT.(-)totally fun(-)(-)(-)(-)
6	Romeo and Juliet	William Shakespeare	René Buch	Elizabethan	-1(-)-1(-)-1(-)-1(-)-1(-)-1(-)-1(-)-1(-)2(-)-1(-)-1(-)-1(-)-1	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)
6	Strindberg in Hollywood	Drury Pifer	Pat Patton	Swan	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)
6	The Darker Face of the Earth	Rita Dove	Ricardo Khan	Bowmer	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)
6	The Winter's Tale	William Shakespeare	Fontaine Syer	Bowmer	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)
6	Three Hotels	Jon Robin Baitz	Michael J. Hume	Swan	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)
6	Three Viewings	Jeffrey Hatcher	Fontaine Syer	Swan	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)
7	As You Like It	William Shakespeare	Tazewell Thompson	Elizabethan	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)
7	Blues for an Alabama Sky	Pearl Cleage	Timothy Bond	Swan	-1(-)-1(-)-1(-)-1(-)-1(-)-1(-)-1(-)-1(-)5(-)-1(-)-1(-)-1(-)-1	(-)(-)(-)(-)(-)(-)(-)(-)I can&acute;t remember this one. (-)(-)(-)(-)
7	Death of a Salesman	Arthur Miller	Penny Metropulos	Bowmer	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)
7	King Lear	William Shakespeare	Libby Appel	Bowmer	-1(-)-1(-)-1(-)-1(-)-1(-)-1(-)-1(-)-1(-)5(-)-1(-)3(-)-1(-)5	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)boring(-)(-)
7	Nora	Ingmar Bergman; adapted from Henrik Ibsen	Richard E. T. White	Swan	-1(-)-1(-)-1(-)-1(-)-1(-)-1(-)-1(-)-1(-)6(-)-1(-)-1(-)-1(-)6	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)
7	Pentecost	David Edgar	Tony Taccone	Bowmer	-1(-)3(-)-1(-)-1(-)-1(-)-1(-)-1(-)-1(-)4(-)-1(-)2(-)-1(-)5	(-)The political statement takes over and creates poor drama.(-)(-)(-)(-)(-)(-)(-)(-)(-)please end please end please end(-)(-)(+1 for the N factor)
7	Rough Crossing	Tom Stoppard	James Edmondson	Bowmer	-1(-)10(-)-1(-)-1(-)-1(-)-1(-)-1(-)10(-)10(-)-1(-)10(-)-1(-)9	(-)John Pribyl is incredible.  But it is Tom Stoppard who allows this to be a 10.(-)(-)(-)(-)(-)(-)As funny as I've seen at Ashland.  Rivals Man Who Came To Dinner.(-)(-)(-)uproarious. delightful. delovely.(-)(-)
7	The Magic Fire	Lillian Garrett-Groag	Libby Appel	Bowmer	-1(-)8(-)-1(-)-1(-)-1(-)-1(-)-1(-)7(-)8(-)-1(-)6(-)-1(-)7	(-)Cheers for Vilma Silva as the narrator.(-)(-)(-)(-)(-)(-)I found this play very engaging.(-)(-)(-)I found the ongoing narration by Vilma Silva to be a poor, distracting device, but I liked the play otherwise. (-)(-)
7	The Turn of the Screw	Jeffrey Hatcher	Michael Donald Edwards	Swan	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)
7	The Two Gentlemen of Verona	William Shakespeare	Kenneth Albers	Elizabethan	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)
7	Timon of Athens	William Shakespeare	Penny Metropulos	Elizabethan	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)
8	A Midsummer Night's Dream	William Shakespeare	Penny Metropulos	Bowmer	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)
8	A Touch of the Poet	Eugene O'Neill	Douglas C. Wager	Bowmer	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)
8	Cymbeline	William Shakespeare	James Edmondson	Elizabethan	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)
8	Henry IV, Part One	William Shakespeare	Michael Donald Edwards	Elizabethan	-1(-)-1(-)-1(-)-1(-)-1(-)-1(-)-1(-)-1(-)-1(-)-1(-)5(-)-1(-)-1	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)Flashy, irritating production of one of the better histories. (-)(-)
8	Les Blancs	Lorraine Hansberry	Timothy Bond	Bowmer	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)
8	Measure for Measure	William Shakespeare	Libby Appel	Swan	-1(-)-1(-)-1(-)-1(-)-1(-)-1(-)-1(-)-1(-)-1(-)-1(-)7(-)-1(-)4	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)Impressive production (multiple roles per cast member) of a weak play.(-)(-)
8	Sailing to Byzantium	Sandra Deer	Chris Coleman	Swan	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)
8	The Comedy of Errors	William Shakespeare	Kenneth Albers	Elizabethan	-1(-)-1(-)-1(-)-1(-)-1(-)-1(-)-1(-)-1(-)-1(-)-1(-)7(-)-1(-)-1	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)Dromio I and II(-)(-)
8	The School for Scandal	Richard Brinsley Sheridan	Lillian Garrett-Groag	Bowmer	-1(-)7(-)-1(-)-1(-)-1(-)-1(-)-1(-)-1(-)-1(-)-1(-)10(-)-1(-)8	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)Sheer perfection. I wish I could have seen it again a few times. (-)(-)
8	Uncle Vanya	Anton Chekhov	Libby Appel	Bowmer	-1(-)8(-)-1(-)-1(-)-1(-)-1(-)-1(-)-1(-)-1(-)-1(-)9(-)-1(-)8	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)Beautifully directed and designed (remember the tableaux opening each act?). Very well acted.(-)(-)
8	Vilna's Got a Golem	Ernest Joselovitz	Barbara Damashek	Swan	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)
9	Chicago	Maurine Watkins	Kenneth Albers	Bowmer	-1(-)2(-)-1(-)-1(-)-1(-)-1(-)-1(-)4(-)5(-)-1(-)3(-)-1(-)-1	(-)This show did nothing for me.  The script was poor, and although the players performed it reasonably, I didn't buy into it enough to feel consistently amused.  I lauged begrudginly and not often enough. Beyond laughs, the play has nothing to offer.  Basically, it licks. (-)(-)(-)(-)(-)(-)Catherine Lynn Davis was mildly funny.(-)Clearly, I like &quot;Theatre as Cartoon&quot; much more than everyone else. I didn't think this was a particularly deep show, but I enjoyed myself at it. I was mostly amused by the histrionic sight gags and the cynicism.(-)(-)They didn't have much to work with, but frankly I think they could have done a better job.  It was kind of a mess all around.  Still, I laughed a lot.(-)(-)
9	El Paso Blue	Octavio Solis	Timothy Bond	Swan	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)
9	Henry IV, Part Two	William Shakespeare	Libby Appel	Elizabethan	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)
9	Much Ado About Nothing	William Shakespeare	James Edmondson	Elizabethan	-1(-)7(-)-1(-)-1(-)-1(-)-1(-)-1(-)7(-)8(-)-1(-)-1(-)-1(-)-1	(-)This was a well-done comedy, very much in the Ashland tradition. I think it is fairly certain that, if you ask me next year what Shakespeare comedy we saw the year before, I won't be able to tell you.  They all run together in my head.  I thought the sharp-tongued woman was well-played.  I didn't like the ingenue (but I rarely like Shakespeare's ingenues).  Sandy was excellent, as usual, playing the low-class comic relief character.  Like everyone else said, the final scene was not so well done -- goofy masks and not very compelling acting.<br />(-)(-)(-)(-)(-)(-)I liked this production.(-)I thoroughly enjoyed the two leads (mostly because it's written so well, but I think they got the parts right). The clowns were fabulous. The &quot;Day of the Dead&quot; ending was cheesey, the singing and dancing was disappointing, the &quot;serious&quot; sub-plot sucks, but the guy playing Claudio did a good job with it (much better than Robert Sean Leonard, IMO).(-)(-)(-)(-)
9	Othello	William Shakespeare	Tony Taccone	Bowmer	-1(-)7(-)-1(-)-1(-)-1(-)-1(-)-1(-)7(-)6(-)-1(-)6(-)-1(-)-1	(-)Part 1: 4<br />Part 2: 6<br />Part 3: 9<br /><br />I almost wept at the end of this show, which is surprising given how familiar the plot is.  The serving maid woman totally made the show for me, as I was intensely frustrated with Othello's wife's spinelessness. Talk about catharsis!  When she gave Othello shit, I was right there with her.   My sympathies were further aroused by the comeliness of Othello's wife.(-)(-)(-)(-)(-)(-)Good, even w/ book-carrying understudy.  A.Heald would have been the capper(-)Probably should get a 5, but we'll give the Iago US a break. I found Othello's love of his own voice too much to take. I also found the shouty intensity a bit much at times. Loved the design. Claudio and Amelia were excellent. Lack of race issue may be what made me feel the tragedy was just Othello being dumb. One very moving moment.(-)(-)This would most likely have rated a 9 with Anthony Heald as Iago -- however with the understudy, the score of 6 is a kindness.  One of the best examples of their Bowmer &quot;minimalist&quot;-type dramas (possibly the worst being &quot;Lear&quot; of two years ago), the use of sound and lighting and spare set pieces were excellent.  Solid performances all around (incluing the Derrick-guy playing Othello, who wasn't as annoying as usual), with an extra &quot;Bravissima!&quot; to Robyn Rodriguez as Iago's wife, who's solely responsible for the extra score point.  (-)(-)
9	Pericles	William Shakespeare	Laird Williamson	Bowmer	-1(-)-1(-)9(-)-1(-)-1(-)-1(-)-1(-)-1(-)-1(-)-1(-)9(-)-1(-)-1	(-)(-)One of the best I've seen, especially from the Bowmer VIP seats.(-)(-)(-)(-)(-)(-)(-)(-)Sorry you all missed it, as I'm very curious as to what you would have said.  The play is unusually episodic for Shakespeare as it's a retelling of an ancient story (about the King of Tyre who's forced to flee his kingdom for a time, and all the events that ensue), so it doesn't feel as plot-perfect as his stuff usually does, but as usual his language and characterizations are simply gorgeous, and he keeps it all moving well through excellent use of the chorus.  As with any ancient-greek-type drama, a sloppy production could absolutely destroy it, but it was all handled very well and was inspired at moments.  The production design was really beautiful. The score is *really* an 8.5, as I have no scruples about non-integral scores (lighten up Bill -- this ain't algorithms), but so as not to be a pain, we'll round up.  (-)(-)
9	Rosmersholm	Henrik Ibsen	Jerry Turner	Swan	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)	(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)(-)
